+-----+-------+--------+-----+---------+---------+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  | Tsym,ms |Tpream,ms|Tframe,ms|
| 200 |  512  | 41.67 |4/8 |  366.2 |   45.8 |   12.3 |  150.5 | 5950.0 |
| 201 | 1024  |  7.81 |4/5 |   61.0 |    7.6 |  131.1 | 1606.1 |36744.7 |
| 202 | 1024  |  7.81 |4/6 |   50.8 |    6.4 |  131.1 | 1606.1 |43562.6 |
| 203 | 1024  |  7.81 |4/7 |   43.6 |    5.4 |  131.1 | 1606.1 |50380.5 |
| 204 | 1024  |  7.81 |4/8 |   38.1 |    4.8 |  131.1 | 1606.1 |57198.5 |
| 205 | 1024  | 15.63 |4/5 |  122.1 |   15.3 |   65.5 |  802.6 |18360.6 |
| 206 | 1024  | 15.63 |4/6 |  101.8 |   12.7 |   65.5 |  802.6 |21767.4 |
| 207 | 1024  | 15.63 |4/7 |   87.2 |   10.9 |   65.5 |  802.6 |25174.2 |
| 208 | 1024  | 15.63 |4/8 |   76.3 |    9.5 |   65.5 |  802.6 |28580.9 |
| 209 | 1024  | 31.25 |4/5 |  244.1 |   30.5 |   32.8 |  401.4 | 9183.2 |
| 210 | 1024  | 31.25 |4/6 |  203.5 |   25.4 |   32.8 |  401.4 |10887.2 |
| 211 | 1024  | 31.25 |4/7 |  174.4 |   21.8 |   32.8 |  401.4 |12591.1 |
| 212 | 1024  | 31.25 |4/8 |  152.6 |   19.1 |   32.8 |  401.4 |14295.0 |
| 213 | 1024  | 62.50 |4/5 |  488.3 |   61.0 |   16.4 |  200.7 | 4591.6 |
| 214 | 1024  | 62.50 |4/6 |  406.9 |   50.9 |   16.4 |  200.7 | 5443.6 |
| 215 | 1024  | 62.50 |4/7 |  348.8 |   43.6 |   16.4 |  200.7 | 6295.6 |
| 216 | 1024  | 62.50 |4/8 |  305.2 |   38.1 |   16.4 |  200.7 | 7147.5 |
| 217 | 1024  |125.00 |4/5 |  976.6 |  122.1 |    8.2 |  100.4 | 2295.8 |
| 218 | 1024  |125.00 |4/6 |  813.8 |  101.7 |    8.2 |  100.4 | 2721.8 |
| 219 | 1024  |125.00 |4/7 |  697.5 |   87.2 |    8.2 |  100.4 | 3147.8 |
| 220 | 1024  |125.00 |4/8 |  610.4 |   76.3 |    8.2 |  100.4 | 3573.8 |
| 221 | 1024  |250.00 |4/5 | 1953.1 |  244.1 |    4.1 |   50.2 | 1147.9 |
| 222 | 1024  |250.00 |4/6 | 1627.6 |  203.5 |    4.1 |   50.2 | 1360.9 |
| 223 | 1024  |250.00 |4/7 | 1395.1 |  174.4 |    4.1 |   50.2 | 1573.9 |
| 224 | 1024  |250.00 |4/8 | 1220.7 |  152.6 |    4.1 |   50.2 | 1786.9 |
| 225 | 1024  |500.00 |4/5 | 3906.3 |  488.3 |    2.0 |   25.1 |  574.0 |
| 226 | 1024  |500.00 |4/6 | 3255.2 |  406.9 |    2.0 |   25.1 |  680.4 |
| 227 | 1024  |500.00 |4/7 | 2790.2 |  348.8 |    2.0 |   25.1 |  786.9 |
| 229 | 1024  | 10.42 |4/5 |   81.4 |   10.2 |   98.3 | 1203.8 |27540.9 |
| 230 | 1024  | 10.42 |4/6 |   67.8 |    8.5 |   98.3 | 1203.8 |32651.1 |
| 231 | 1024  | 10.42 |4/7 |   58.1 |    7.3 |   98.3 | 1203.8 |37761.2 |
| 232 | 1024  | 10.42 |4/8 |   50.9 |    6.4 |   98.3 | 1203.8 |42871.4 |
| 233 | 1024  | 20.83 |4/5 |  162.7 |   20.3 |   49.2 |  602.2 |13777.1 |
| 234 | 1024  | 20.83 |4/6 |  135.6 |   17.0 |   49.2 |  602.2 |16333.4 |
| 235 | 1024  | 20.83 |4/7 |  116.2 |   14.5 |   49.2 |  602.2 |18889.7 |
| 236 | 1024  | 20.83 |4/8 |  101.7 |   12.7 |   49.2 |  602.2 |21446.0 |
| 237 | 1024  | 41.67 |4/5 |  325.5 |   40.7 |   24.6 |  301.0 | 6886.9 |
| 238 | 1024  | 41.67 |4/6 |  271.3 |   33.9 |   24.6 |  301.0 | 8164.7 |
| 239 | 1024  | 41.67 |4/7 |  232.5 |   29.1 |   24.6 |  301.0 | 9442.6 |
| 240 | 1024  | 41.67 |4/8 |  203.5 |   25.4 |   24.6 |  301.0 |10720.4 |
